coreid,refcode,Density,GSA,VSA,PV,VF,LCD,PLD
2020[Cu][sql]2[ASR]1,10876_2020_1817_MOESM2_ESM_ASR_pacman,0.578816,5045.35,2920.33,1.30542,0.7556,8.85794,5.7866
2015[Cu][nan]3[ASR]1,41467_2015_BFncomms7350_MOESM943_ESM_1_ASR_pacman,1.52436,840.572,1281.34,0.342307,0.5218,6.31761,5.94846
2017[Zr][nan]3[ASR]1,41467_2017_BFncomms15369_MOESM422_ESM_2_ASR_pacman,0.811156,3043.37,2468.65,0.91499,0.7422,12.00356,7.22815
2015[Zn][hea]3[ASR]1,41557_2015_BFnchem2258_MOESM175_ESM_ASR_pacman,0.548186,4391.44,2407.33,1.42981,0.7838,11.61449,9.32322
2023[Al][nan]3[ASR]1,42004_2023_850_MOESM4_ESM_ASR_pacman,1.10771,1278.26,1415.94,0.513312,0.5686,5.59563,4.29059
2019[In][mmt]3[ASR]1,ac9b01379_si_002_ASR_pacman,0.546774,3568.35,1951.08,1.40826,0.77,11.44889,9.53551
2023[Cd][nan]3[ASR]1,adma202204553-sup-0004-jlu-mof88_ASR_pacman,1.24351,0,0,0.410292,0.5102,5.15336,2.94521
2023[Cd][nan]2[ASR]1,adma202204553-sup-0005-jlu-mof89_ASR_pacman,1.27081,0,0,0.388098,0.4932,5.20043,3.16992
2023[Zn][eta]3[ASR]1,advs5490-sup-0002-suppmat_2_ASR_pacman,1.07529,1580.76,1699.78,0.581236,0.625,7.24464,6.56289
2018[Zn][pcu]3[ASR]1,ae8b01428_si_002_ASR_pacman,0.899946,2340.66,2106.47,0.707153,0.6364,6.11542,4.24797
2020[Zn][nan]3[ASR]1,am0c04538_si_002_ASR_pacman,1.11425,1641.85,1829.44,0.562888,0.6272,7.88337,5.26114
2020[Zn][nan]3[ASR]2,am0c04538_si_003_ASR_pacman,1.28971,1209.74,1560.22,0.423352,0.546,6.90169,4.11736
2020[InTb][nan]3[ASR]1,am0c07061_si_002_ASR_pacman,1.14162,1473.28,1681.92,0.529248,0.6042,8.61603,6.66351
2020[Co][cds]3[ASR]1,am0c09912_si_002_ASR_pacman,0.993824,1526.52,1517.09,0.596685,0.593,7.68226,5.73122
2020[Co][fsc]3[ASR]1,am0c12992_si_002_ASR_pacman,1.18268,1146.45,1355.89,0.436635,0.5164,6.07235,3.93851
2020[Ni][kgd]2[ASR]1,am0c13563_si_002_ASR_pacman,0.77079,2377.09,1832.24,0.813451,0.627,8.74454,4.76382
2020[Ce][pts]3[ASR]1,am0c15395_si_002_ASR_pacman,1.54829,1009.16,1562.48,0.377707,0.5848,5.60637,5.50315
2020[Pr][pts]3[ASR]1,am0c15395_si_003_ASR_pacman,1.57041,1011.42,1588.35,0.370221,0.5814,5.58275,5.44827
2020[La][pts]3[ASR]1,am0c15395_si_004_ASR_pacman,1.52957,1023.5,1565.52,0.382591,0.5852,5.66062,5.50843
2020[Cu][ant]2[ASR]1,am0c17875_si_002_ASR_pacman,1.42679,490.193,699.404,0.28119,0.4012,4.62691,4.02117
2020[Cu][tbo]3[ASR]1,am0c18970_si_002_ASR_pacman,0.868078,2435.57,2114.26,0.828036,0.7188,13.26988,6.68271
2017[Zn][dia]3[ASR]1,am6b11797_si_001_1_ASR_pacman,1.11292,961.347,1069.9,0.485571,0.5404,5.16535,3.80955
2017[Cd][dia]3[ASR]1,am6b14051_si_002_ASR_pacman,1.00531,2006.38,2017.04,0.629655,0.633,6.82055,4.25216
2017[Cd][sql]2[ASR]1,am6b14554_si_003_2_ASR_pacman,1.35224,581.162,785.87,0.32938,0.4454,4.39877,3.53847
2017[Cd][sql]2[ASR]2,am6b14554_si_003_3_ASR_pacman,1.32725,759.891,1008.57,0.34432,0.457,4.40252,3.44314
2017[Ni][sqc]3[ASR]1,am7b01758_si_002_ASR_pacman,1.20986,472.081,571.15,0.391286,0.4734,4.85428,3.67505
2017[Zn][apo]3[ASR]1,am7b04265_si_002_ASR_pacman,1.12099,1131.93,1268.88,0.499202,0.5596,6.62246,3.70658
2017[In][nan]3[ASR]1,am7b09227_si_002_ASR_pacman,1.36058,0,0,0.390127,0.5308,5.47137,3.17727
2017[Cd][pcu]3[ASR]1,am7b10420_si_002_ASR_pacman,1.22425,1314.06,1608.73,0.484868,0.5936,6.99462,3.97878
2017[Co][nan]3[ASR]1,am7b10757_si_002_ASR_pacman,0.898646,1978.14,1777.65,0.695713,0.6252,8.58796,4.10545
2017[Zn][sql]2[ASR]1,am7b10884_si_003_ASR_pacman,0.652027,3736.53,2436.32,1.1432,0.7454,10.47983,6.30167
2017[Zn][pcu]3[ASR]1,am7b10884_si_005_ASR_pacman,0.845633,2140.6,1810.16,0.767236,0.6488,8.64973,6.50826
2018[Zn][nan]3[ASR]1,am7b17755_si_002_ASR_pacman,0.867685,2157.27,1871.83,0.701176,0.6084,7.98999,5.66524
2018[Cd][nan]3[ASR]2,am7b17755_si_003_ASR_pacman,0.888712,1462.39,1299.64,0.713167,0.6338,13.19619,10.16926
2018[Cd][nan]3[ASR]3,am7b17755_si_004_ASR_pacman,0.700989,2597.05,1820.5,1.00373,0.7036,11.83106,10.92247
2018[Fe][sql]2[ASR]1,am7b18620_si_002_ASR_pacman,1.17018,1308.85,1531.58,0.491379,0.575,6.86695,4.28377
2018[Co][nia]3[ASR]1,am7b19323_si_002_ASR_pacman,0.872025,2541.47,2216.23,0.75273,0.6564,8.93138,4.66988
2018[Co][nan]3[ASR]1,am8b02714_si_001_ASR_pacman,1.03176,1381.86,1425.76,0.539658,0.5568,9.68124,5.2532
2018[Cd][nan]3[ASR]4,am8b06339_si_002_ASR_pacman,1.28977,1105.05,1425.26,0.428138,0.5522,6.41846,3.35195
2018[Zr][nan]3[ASR]1,am8b09333_si_004_ASR_pacman,0.847475,2418.22,2049.38,0.806395,0.6834,12.90854,5.36266
2018[Zr][nan]3[ASR]2,am8b09333_si_005_ASR_pacman,0.833978,2473.14,2062.55,0.824242,0.6874,13.22909,5.54535
2018[Zn][vtx]3[ASR]1,am8b15894_si_002_ASR_pacman,1.43499,0,0,0.294217,0.4222,3.21704,2.44664
2019[In][bpq]3[ASR]1,am8b18206_si_002_ASR_pacman,1.14337,834.178,953.777,0.472287,0.54,6.12588,5.63641
2019[Mg][nan]3[ASR]1,am8b20450_si_003_ASR_pacman,0.910088,1752.87,1595.26,0.721688,0.6568,11.62878,10.82918
2019[Mg][nan]3[ASR]2,am8b20450_si_004_ASR_pacman,0.912446,1706.34,1556.94,0.714124,0.6516,11.79429,10.71838
2019[Mg][nan]3[ASR]3,am8b20450_si_005_ASR_pacman,0.929735,1672.54,1555.02,0.703211,0.6538,11.57367,10.78479
2019[Co][nan]3[ASR]1,am8b20450_si_007_ASR_pacman,1.17375,1309.34,1536.84,0.546964,0.642,11.42442,10.86245
2019[Co][nan]3[ASR]2,am8b20450_si_009_ASR_pacman,1.18734,1305.74,1550.36,0.539695,0.6408,11.31681,10.86182
2019[Ni][nan]3[ASR]1,am8b20450_si_011_ASR_pacman,1.19871,1304.87,1564.17,0.544418,0.6526,11.61966,10.85724
2019[Ni][nan]3[ASR]2,am8b20450_si_012_ASR_pacman,1.42689,919.753,1312.39,0.374661,0.5346,9.15112,3.85127
2019[Ni][nan]3[ASR]3,am8b20450_si_013_ASR_pacman,1.20772,1294.18,1563.02,0.538864,0.6508,11.54467,10.75662
2019[La][pcu]3[ASR]1,am9b04619_si_002_ASR_pacman,1.63094,423.531,690.754,0.278367,0.454,4.5927,3.82984
2019[Nd][pcu]3[ASR]1,am9b04619_si_003_ASR_pacman,1.65695,481.157,797.254,0.275687,0.4568,4.77313,3.82049
2019[Lu][pcu]3[ASR]1,am9b04619_si_004_ASR_pacman,1.83876,429.986,790.64,0.243969,0.4486,4.77627,3.78793
2019[La][pcu]3[ASR]2,am9b04619_si_005_ASR_pacman,1.65025,369.896,610.42,0.269414,0.4446,4.50005,3.66343
2019[Dy][pcu]3[ASR]1,am9b04619_si_007_ASR_pacman,1.84481,280.638,517.724,0.231893,0.4278,4.38092,3.53647
2019[Lu][pcu]3[ASR]2,am9b04619_si_008_ASR_pacman,1.90166,291.553,554.434,0.22717,0.432,4.40729,3.54257
