coreid,refcode,Density,GSA,VSA,PV,VF,LCD,PLD
2024[Zn][ths]3[FSR]1,d3ce00405h2_1_FSR_pacman,1.23899,700.399,867.788,0.391125,0.4846,4.66266,3.90863
2024[Zn][srs]3[FSR]2,d3qi01092a2_2_FSR_pacman,1.50301,291.015,437.397,0.31284,0.4702,3.89699,3.4238
2024[Zn][srs]3[FSR]1,d3qi01092a2_1_FSR_pacman,1.49702,277.789,415.857,0.314892,0.4714,3.87773,3.44353
2024[Zn][sra]3[FSR]1,d3dt01455j2_FSR_pacman,1.00542,1391.53,1399.07,0.555988,0.559,7.03576,5.263
2024[Zn][sql]2[FSR]3,d3dt03466f2_2_FSR_pacman,1.24597,547.398,682.04,0.366462,0.4566,4.65353,4.1972
2024[Zn][sql]2[FSR]2,d3ce00541k2_5_FSR_pacman,1.32669,387.336,513.875,0.333763,0.4428,4.89084,4.20307
2024[Zn][sql]2[FSR]1,d3ce00541k2_3_FSR_pacman,1.26246,645.685,815.154,0.365634,0.4616,4.83867,4.02901
2024[Zn][scn]3[FSR]1,d3cc01566a2_FSR_pacman,1.04474,1868.07,1951.64,0.590005,0.6164,7.29375,4.92532
2024[Zn][pcu]3[FSR]5,d3ta06197c2_4_FSR_pacman,1.21926,1242.71,1515.19,0.448469,0.5468,8.10628,4.95434
2024[Zn][pcu]3[FSR]4,d3ta06197c2_3_FSR_pacman,0.648133,2656.05,1721.47,1.16581,0.7556,14.46267,10.01487
2024[Zn][pcu]3[FSR]3,d3ta06197c2_1_FSR_pacman,0.535109,3601.13,1927,1.46886,0.786,13.10273,9.06658
2024[Zn][pcu]3[FSR]2,d3ta04732f2_1_FSR_pacman,1.25743,1624.17,2042.27,0.514862,0.6474,10.29168,4.87268
2024[Zn][pcu]3[FSR]1,d3ce00135k2_6_FSR_pacman,1.20753,0,0,0.394359,0.4762,5.4265,3.12558
2024[Zn][nia]3[FSR]1,d3qi01417g2_4_FSR_pacman,0.932478,2326.19,2169.12,0.692348,0.6456,8.59472,4.47227
2024[Zn][nan]3[FSR]2,d3ce00398a2_2_FSR_pacman,1.27926,1014.05,1297.22,0.430563,0.5508,5.16558,4.00285
2024[Zn][nan]3[FSR]1,d3ce00398a2_1_FSR_pacman,1.27551,1045.1,1333.04,0.427749,0.5456,5.18191,4.01843
2024[Zn][nan]2[FSR]1,d3dt00440f2_1_FSR_pacman,1.05729,1471.82,1556.15,0.538923,0.5698,6.28313,4.79556
2024[Zn][hex]3[FSR]1,d3dt03959e2_2_FSR_pacman,0.944033,2107.97,1989.99,0.659087,0.6222,6.71711,4.38612
2024[Zn][fsc]3[FSR]1,d3dt00440f2_2_FSR_pacman,0.819168,2788.17,2283.98,0.796906,0.6528,6.73264,5.14775
2024[Zn][crb]3[FSR]9,d3cc01369c2_2_FSR_pacman,0.935738,2069.73,1936.72,0.705326,0.66,6.30473,5.28591
2024[Zn][crb]3[FSR]8,d3cc01369c2_16_FSR_pacman,0.935738,2105.29,1969.99,0.712379,0.6666,6.3632,5.33079
2024[Zn][crb]3[FSR]7,d3cc01369c2_15_FSR_pacman,0.935738,2069.17,1936.2,0.704685,0.6594,6.29064,5.28609
2024[Zn][crb]3[FSR]6,d3cc01369c2_14_FSR_pacman,0.935738,2068.53,1935.6,0.70383,0.6586,6.28789,5.2849
2024[Zn][crb]3[FSR]5,d3cc01369c2_13_FSR_pacman,0.935738,2068.32,1935.41,0.703616,0.6584,6.18171,5.28512
2024[Zn][crb]3[FSR]4,d3cc01369c2_12_FSR_pacman,0.935738,2108.35,1972.86,0.711952,0.6662,6.34189,5.33288
2024[Zn][crb]3[FSR]3,d3cc01369c2_11_FSR_pacman,0.935738,2067.25,1934.4,0.703616,0.6584,6.28692,5.28447
2024[Zn][crb]3[FSR]2,d3cc01369c2_10_FSR_pacman,0.935738,2066.9,1934.08,0.703616,0.6584,6.18304,5.28458
2024[Zn][crb]3[FSR]16,d3cc01369c2_9_FSR_pacman,0.935738,2067.91,1935.02,0.70383,0.6586,6.28096,5.28433
2024[Zn][crb]3[FSR]15,d3cc01369c2_8_FSR_pacman,0.935738,2068.85,1935.9,0.704685,0.6594,6.2956,5.28606
2024[Zn][crb]3[FSR]14,d3cc01369c2_7_FSR_pacman,0.935738,2070.69,1937.62,0.704898,0.6596,6.29538,5.28589
2024[Zn][crb]3[FSR]13,d3cc01369c2_6_FSR_pacman,0.935738,2067.42,1934.57,0.70383,0.6586,6.29673,5.28475
2024[Zn][crb]3[FSR]12,d3cc01369c2_5_FSR_pacman,0.935738,2067.93,1935.04,0.70383,0.6586,6.28808,5.28476
2024[Zn][crb]3[FSR]11,d3cc01369c2_4_FSR_pacman,0.935738,2066.06,1933.29,0.70383,0.6586,6.29436,5.28433
2024[Zn][crb]3[FSR]10,d3cc01369c2_3_FSR_pacman,0.935738,2069.58,1936.59,0.704898,0.6596,6.30272,5.28603
2024[Zn][crb]3[FSR]1,d3cc01369c2_1_FSR_pacman,0.935738,2070.41,1937.36,0.705112,0.6598,6.29616,5.28591
