MOF,PredictedValue,Model,Features
mof_7484,33.1,SK_RF,Density
mof_701,36.1,SK_RF,Density
mof_653,35.8,SK_RF,Density
mof_700,36.1,SK_RF,Density
mof_10598,33.0,SK_RF,Density
mof_652,35.7,SK_RF,Density
mof_10560,35.3,SK_RF,Density
mof_10597,33.3,SK_RF,Density
mof_10515,35.2,SK_RF,Density
mof_10512,35.1,SK_RF,Density
mof_10472,34.0,SK_RF,Density
mof_10644,32.7,SK_RF,Density
mof_10801,34.8,SK_RF,Density
mof_10600,36.1,SK_RF,Density
mof_9722,36.0,SK_RF,Density
mof_365,33.6,SK_RF,Density
mof_10604,34.5,SK_RF,Density
mof_10646,33.6,SK_RF,Density
mof_749,37.8,SK_RF,Density
mof_10653,33.0,SK_RF,Density
mof_10602,35.6,SK_RF,Density
mof_10842,35.7,SK_RF,Density
mof_10893,32.9,SK_RF,Density
mof_10846,35.7,SK_RF,Density
mof_10805,36.2,SK_RF,Density
mof_10652,35.4,SK_RF,Density
mof_10475,35.9,SK_RF,Density
mof_10607,35.5,SK_RF,Density
mof_748,37.7,SK_RF,Density
mof_10517,35.8,SK_RF,Density
mof_10894,36.5,SK_RF,Density
mof_10715,35.9,SK_RF,Density
mof_10807,35.4,SK_RF,Density
mof_10521,36.0,SK_RF,Density
mof_10611,37.9,SK_RF,Density
mof_10895,36.3,SK_RF,Density
mof_10654,36.4,SK_RF,Density
mof_10568,37.2,SK_RF,Density
mof_10612,38.0,SK_RF,Density
mof_10850,35.6,SK_RF,Density
mof_368,34.9,SK_RF,Density
mof_10656,38.5,SK_RF,Density
mof_10851,37.7,SK_RF,Density
mof_10855,38.0,SK_RF,Density
mof_10900,38.5,SK_RF,Density
mof_10615,37.8,SK_RF,Density
mof_10407,34.2,SK_RF,Density
mof_10718,39.6,SK_RF,Density
mof_10762,39.1,SK_RF,Density
mof_10763,38.6,SK_RF,Density
mof_10616,39.6,SK_RF,Density
mof_10661,39.3,SK_RF,Density
mof_10410,37.0,SK_RF,Density
mof_10414,37.5,SK_RF,Density
mof_10764,37.0,SK_RF,Density
mof_10572,37.7,SK_RF,Density
mof_10477,40.5,SK_RF,Density
mof_10857,38.6,SK_RF,Density
mof_10664,40.3,SK_RF,Density
mof_10904,40.4,SK_RF,Density
mof_10418,37.6,SK_RF,Density
mof_10416,39.1,SK_RF,Density
mof_10417,38.7,SK_RF,Density
mof_10860,39.8,SK_RF,Density
mof_10574,43.1,SK_RF,Density
mof_10906,42.2,SK_RF,Density
mof_10907,41.7,SK_RF,Density
mof_10910,45.7,SK_RF,Density
OKERAY_UM,3.8,SK_RF,VF
mof_631,28.2,SK_LR,PV
mof_6152,27.8,SK_LR,PV
mof_6151,27.5,SK_LR,PV
mof_10080,27.9,SK_LR,PV
mof_599,27.8,SK_LR,PV
mof_9894,28.0,SK_LR,PV
mof_10081,27.4,SK_LR,PV
mof_2115,28.7,SK_LR,PV
mof_727,30.2,SK_LR,PV
mof_6248,27.7,SK_LR,PV
mof_6247,27.8,SK_LR,PV
mof_643,28.9,SK_LR,PV
mof_10084,28.2,SK_LR,PV
mof_9897,28.2,SK_LR,PV
mof_2349,30.2,SK_LR,PV
mof_2159,27.1,SK_LR,PV
mof_691,29.0,SK_LR,PV
mof_2163,30.1,SK_LR,PV
mof_1968,27.1,SK_LR,PV
mof_4856,27.9,SK_LR,PV
mof_6754,27.5,SK_LR,PV
mof_7475,27.5,SK_LR,PV
mof_733,29.0,SK_LR,PV
mof_734,29.0,SK_LR,PV
mof_7532,28.7,SK_LR,PV
mof_7531,29.0,SK_LR,PV
mof_772,27.2,SK_LR,PV
mof_779,29.2,SK_LR,PV
mof_7106,28.3,SK_LR,PV
mof_1737,31.1,SK_LR,PV
mof_692,29.3,SK_LR,PV
mof_10089,28.2,SK_LR,PV
mof_7866,29.9,SK_LR,PV
mof_646,28.5,SK_LR,PV
mof_4855,27.8,SK_LR,PV
mof_542,27.9,SK_LR,PV
mof_736,30.6,SK_LR,PV
mof_2348,30.1,SK_LR,PV
mof_782,29.4,SK_LR,PV
mof_644,29.0,SK_LR,PV
mof_544,29.2,SK_LR,PV
mof_6716,27.8,SK_LR,PV
mof_9857,27.3,SK_LR,PV
mof_10545,28.2,SK_LR,PV
mof_738,31.2,SK_LR,PV
mof_784,31.2,SK_LR,PV
mof_11047,27.2,SK_LR,PV
mof_10456,29.3,SK_LR,PV
mof_648,29.2,SK_LR,PV
mof_602,28.9,SK_LR,PV
mof_11539,28.4,SK_LR,PV
mof_10453,27.0,SK_LR,PV
mof_9856,27.8,SK_LR,PV
mof_7105,28.2,SK_LR,PV
mof_603,27.8,SK_LR,PV
mof_10498,27.0,SK_LR,PV
mof_537,28.9,SK_LR,PV
mof_721,28.7,SK_LR,PV
mof_737,28.4,SK_LR,PV
mof_10590,26.9,SK_LR,PV
mof_786,31.7,SK_LR,PV
mof_539,28.0,SK_LR,PV
mof_785,28.9,SK_LR,PV
mof_7481,29.5,SK_LR,PV
mof_10829,27.6,SK_LR,PV
mof_10830,26.8,SK_LR,PV
mof_1975,28.2,SK_LR,PV
mof_7480,29.8,SK_LR,PV
mof_605,32.3,SK_LR,PV
