Features,Model,MSE,R²
Density,SK_RF,0.23779001642247607,0.9816254956458916
Density,XG_RF,0.34330888724968905,0.9734718440308023
Density,SK_GB,0.23881876253060988,0.9815460024016942
Density,SK_LR,6.310490403470054,0.5123759393282921
GSA,SK_RF,2.1303123785234113,0.8353865538019719
GSA,XG_RF,2.1228038677254695,0.8359667512653698
GSA,SK_GB,2.1067659319795844,0.8372060342454849
GSA,SK_LR,3.899292919613346,0.6986939325405279
VSA,SK_RF,11.137811014861258,0.13935933868558725
VSA,XG_RF,11.220097043441482,0.13300093469042806
VSA,SK_GB,11.813390326330238,0.0871559905934719
VSA,SK_LR,11.706326855319581,0.09542899651629466
VF,SK_RF,0.3841548581356139,0.9703155951639122
VF,XG_RF,0.38497799581677783,0.970251989689073
VF,SK_GB,0.38676648551387444,0.9701137895567841
VF,SK_LR,5.709746388766966,0.5587966161924327
PV,SK_RF,0.12572668551491653,0.9902848506208224
PV,XG_RF,0.24965655588192162,0.9807085446979662
PV,SK_GB,0.12559589543379443,0.9902949570287836
PV,SK_LR,1.726845952422229,0.8665632016472765
LCD,SK_RF,3.6478248777469684,0.7181253649434071
LCD,XG_RF,3.591044570875754,0.7225128914322363
LCD,SK_GB,3.586764002309816,0.722843659422147
LCD,SK_LR,3.627023146448049,0.7197327558174036
PLD,SK_RF,3.348315001893936,0.7412690847713344
PLD,XG_RF,3.3258324124668537,0.7430063588736482
PLD,SK_GB,3.304003293482856,0.744693138023809
PLD,SK_LR,3.645124614405311,0.7183340196265389
"Density,GSA",SK_RF,0.2473124328974251,0.9808896797120985
"Density,GSA",XG_RF,0.3431479101909187,0.9734842830461646
"Density,GSA",SK_GB,0.20189292546582224,0.9843993347834901
"Density,GSA",SK_LR,3.89588922964704,0.6989569423886571
"Density,VSA",SK_RF,0.27199776642797807,0.9789821952211016
"Density,VSA",XG_RF,0.3090756953743918,0.9761171103991351
"Density,VSA",SK_GB,0.20105429377238765,0.9844641375112679
"Density,VSA",SK_LR,5.405816230023776,0.582281900012127
"Density,VF",SK_RF,0.07216176072888976,0.994423918183523
"Density,VF",XG_RF,0.10988966868039216,0.9915086081997152
"Density,VF",SK_GB,0.07268500704252935,0.9943834859071269
"Density,VF",SK_LR,5.62237886595637,0.5655476772859263
"Density,PV",SK_RF,0.06514396273732,0.9949661972989056
"Density,PV",XG_RF,0.21495154862463842,0.9833902691729978
"Density,PV",SK_GB,0.06482511494425298,0.9949908352978012
"Density,PV",SK_LR,1.0794938535698584,0.916585377253972
"Density,LCD",SK_RF,0.17085917732884368,0.9867973738132453
"Density,LCD",XG_RF,0.2826195483703454,0.9781614291457014
"Density,LCD",SK_GB,0.1627417907525511,0.9874246203109497
"Density,LCD",SK_LR,2.8894592857496546,0.7767257724870248
"Density,PLD",SK_RF,0.20670798438699572,0.9840272656678751
"Density,PLD",XG_RF,0.2842849644093405,0.978032739158122
"Density,PLD",SK_GB,0.18998107612037138,0.9853197869158227
"Density,PLD",SK_LR,3.1117203649103478,0.7595512197945722
"GSA,VSA",SK_RF,0.2243852782219521,0.982661306249452
"GSA,VSA",XG_RF,0.6925970601287607,0.9464816568481648
"GSA,VSA",SK_GB,0.20809375485565823,0.9839201844459915
"GSA,VSA",SK_LR,1.2792867582998115,0.9011469847885871
"GSA,VF",SK_RF,0.23148013980355814,0.9821130722782183
"GSA,VF",XG_RF,0.2849563137956921,0.9779808626647005
"GSA,VF",SK_GB,0.20258623543312895,0.9843457613525922
"GSA,VF",SK_LR,3.895409113837789,0.6989940418857693
"GSA,PV",SK_RF,0.12101139340002103,0.990649210558214
"GSA,PV",XG_RF,0.23532576971697308,0.9818159128572661
"GSA,PV",SK_GB,0.10505281215360662,0.9918823616593799
"GSA,PV",SK_LR,0.6990423715713265,0.9459836148994456
"GSA,LCD",SK_RF,0.46904165640799445,0.963756224556481
"GSA,LCD",XG_RF,0.6488992240543779,0.949858274972398
"GSA,LCD",SK_GB,0.4626821142356302,0.9642476389442434
"GSA,LCD",SK_LR,1.6246869881579196,0.8744572266443172
"GSA,PLD",SK_RF,0.835972837219733,0.9354027272948265
"GSA,PLD",XG_RF,1.0795276109258296,0.9165827687563841
"GSA,PLD",SK_GB,0.7874726529015613,0.9391504323555218
"GSA,PLD",SK_LR,2.1686048690436857,0.8324276174076687
"VSA,VF",SK_RF,0.31327767434514187,0.9757924151825086
"VSA,VF",XG_RF,0.39344536623771476,0.9695976992482542
"VSA,VF",SK_GB,0.30431848724878824,0.9764847092694846
"VSA,VF",SK_LR,4.021089821590081,0.6892824452991446
"VSA,PV",SK_RF,0.13160601700224564,0.9898305430614115
"VSA,PV",XG_RF,0.23657560577336179,0.981719335555975
"VSA,PV",SK_GB,0.1086686877707031,0.9916029558068137
"VSA,PV",SK_LR,1.3939579877569086,0.8922861123404904
"VSA,LCD",SK_RF,1.6833604253035679,0.8699234142390572
"VSA,LCD",XG_RF,2.6128544449201954,0.7980995750068011
"VSA,LCD",SK_GB,1.5798424691278512,0.8779224512259579
"VSA,LCD",SK_LR,3.3353839262880407,0.7422682945304258
"VSA,PLD",SK_RF,1.7787093894826411,0.8625556114026447
"VSA,PLD",XG_RF,3.1865906133630055,0.7537658477807095
"VSA,PLD",SK_GB,1.6280020630537078,0.8742010642577576
"VSA,PLD",SK_LR,3.6193428135818744,0.7203262303114707
"VF,PV",SK_RF,0.06792810685654126,0.994751060982374
"VF,PV",XG_RF,0.10949918495317111,0.9915387816487691
"VF,PV",SK_GB,0.06464837475504259,0.9950044923613947
"VF,PV",SK_LR,0.9292103081608601,0.92819808371244
"VF,LCD",SK_RF,0.29699458662216566,0.9770506415402233
"VF,LCD",XG_RF,0.36533643400343335,0.9717697319748533
"VF,LCD",SK_GB,0.2955960338999309,0.9771587104720934
"VF,LCD",SK_LR,2.850771537697798,0.7797152512116762
"VF,PLD",SK_RF,0.3078245969640866,0.9762137852450072
"VF,PLD",XG_RF,0.3746154403304269,0.9710527248240812
"VF,PLD",SK_GB,0.2954756085515972,0.977168015976675
"VF,PLD",SK_LR,3.041475418217449,0.7649791856035724
"PV,LCD",SK_RF,0.0957794440500671,0.9925989331334867
"PV,LCD",XG_RF,0.22151440870964645,0.9828831440084445
