index,core-mof-id
1,2020[Cu][sql]2[ASR]1
2,2015[Cu][nan]3[ASR]1
3,2017[Zr][nan]3[ASR]1
4,2015[Zn][hea]3[ASR]1
5,2023[Al][nan]3[ASR]1
6,2004[Co][rtl]3[ASR]1
7,2004[Co][rtl]3[ASR]2
8,2016[Mn][tbo]3[ASR]1
9,2016[Co][tbo]3[ASR]1
10,2014[Tb][bcu]3[ASR]1
11,2016[Cu][ubo]3[ASR]1
12,2011[La][nan]3[ASR]1
13,2016[In][nan]3[ASR]1
14,2011[Ce][nan]3[ASR]1
15,2011[Pr][nan]3[ASR]1
16,2011[Nd][nan]3[ASR]1
17,2011[Sm][nan]3[ASR]1
18,2011[Eu][nan]3[ASR]1
19,2011[Gd][nan]3[ASR]1
20,2021[Zn][pts]3[ASR]1
21,0000[Co][nan]3[ASR]1
22,2016[Cu][nan]3[ASR]1
23,2019[In][mmt]3[ASR]1
24,2012[Cu][rob]3[ASR]1
25,2012[Cu][rob]3[ASR]2
26,2017[Fe][pts]3[ASR]1
27,2012[Cu][apo]3[ASR]1
28,2012[Tb][nan]3[ASR]1
29,2006[Cd][nan]3[ASR]1
30,2006[Cd][nan]3[ASR]2
31,2012[Cd][sra]3[ASR]1
32,2012[Cd][fsc]3[ASR]1
33,2012[Cu][tfw]2[ASR]1
34,2012[Cu][tfw]3[ASR]1
35,2012[Cu][tfw]3[ASR]2
36,2017[Zr][scu]3[ASR]1
37,2012[Cu][nts]3[ASR]1
38,2012[Zn][nts]3[ASR]1
39,2012[Cu][nts]3[ASR]2
40,2012[Cu][ntt]3[ASR]1
41,2012[Ag][srs]3[ASR]1
42,2012[Ag][srs]3[ASR]2
43,2012[Ag][srs]3[ASR]3
44,2012[Co][nan]3[ASR]1
45,2017[Zn][bbh]3[ASR]1
46,2006[Gd][pcu]3[ASR]1
47,2012[Co][rtl]3[ASR]1
48,2023[Cd][nan]3[ASR]1
49,2023[Cd][nan]2[ASR]1
50,2012[Cu][hxg]3[ASR]1
51,2012[La][nan]3[ASR]1
52,2012[Eu][nan]3[ASR]1
53,2012[Tb][nan]3[ASR]2
54,2017[Eu][nan]3[ASR]1
