Features,Model,MSE,R²
Density,SK_RF,0.23788728651415733,0.9816179793937376
Density,XG_RF,0.345737096,0.9732842115637047
Density,SK_GB,0.246489614,0.9809532605718361
Density,SK_LR,6.310490403470054,0.5123759393282921
GSA,SK_RF,2.4685374400030433,0.8092512350937864
GSA,XG_RF,2.1460696676308553,0.8341689569420631
GSA,SK_GB,2.1223720773278694,0.8360001165624504
GSA,SK_LR,3.899292919613346,0.6986939325405279
VSA,SK_RF,12.143880322476823,0.061618375665199676
VSA,XG_RF,11.172542646795707,0.13667555686915045
VSA,SK_GB,11.158464080278495,0.13776343551797698
VSA,SK_LR,11.706326855319581,0.095428997
VF,SK_RF,0.3847242017584367,0.9702716008573642
VF,XG_RF,0.4085421290155495,0.9684311425627902
VF,SK_GB,0.39820678598841763,0.9692297749373127
VF,SK_LR,5.709746388766966,0.5587966161924327
PV,SK_RF,0.12640899864390628,0.9902321269373469
PV,XG_RF,0.25653880612697844,0.98017674
PV,SK_GB,0.1360115774337794,0.9894901167031085
PV,SK_LR,1.726845952422229,0.8665632016472765
LCD,SK_RF,3.792442971169368,0.7069504391527818
LCD,XG_RF,3.575364408692253,0.7237245285423577
LCD,SK_GB,3.550894952749424,0.7256153317456568
LCD,SK_LR,3.627023146448049,0.7197327558174036
PLD,SK_RF,3.5671166879584177,0.7243618462179076
PLD,XG_RF,3.3093463713860043,0.7442802678382865
PLD,SK_GB,3.2912079854037444,0.7456818567578793
PLD,SK_LR,3.645124614405311,0.7183340196265389
"Density,GSA",SK_RF,0.27086715557768015,0.9790695597551731
"Density,GSA",XG_RF,2.1460696676308553,0.8341689569420631
"Density,GSA",SK_GB,0.2227141005491438,0.982790441
"Density,GSA",SK_LR,3.89588923,0.6989569423886571
"Density,VSA",SK_RF,0.26797142349955405,0.9792933186937457
"Density,VSA",XG_RF,11.172542646795707,0.13667555686915045
"Density,VSA",SK_GB,0.22171113859522873,0.982867942
"Density,VSA",SK_LR,5.405816230023776,0.5822819
