Density (g/cm3),Gravimetric Surfcae Area (m2/g),Volumetric Surface Area (m2/cm3),Void Fraction,Pore Volume (cm3/g),Largest Cavity Diameter (Å),Pore Limiting Diameter (Å)
0.18,3299,591,0.88,5.02,71.6,71.5
0.23,3036,712,0.86,3.74,53.6,53.3
0.33,2809,918,0.79,2.54,38.2,38.1
0.33,2893,968,0.85,2.55,36.8,36.4
0.29,3360,961,0.83,2.96,34.9,34.4
0.46,2895,1339,0.86,1.8,33.1,31.5
0.36,3018,1093,0.82,2.28,30.7,30.1
0.38,2916,1119,0.78,2.11,28.2,27.6
0.73,1484,1089,0.76,1.12,26.8,26.5
0.81,1409,1148,0.74,0.99,25.7,25.4
0.13,6581,833,0.97,7.46,42.8,24.2
0.44,2759,1211,0.83,1.81,24.4,23.6
0.31,2994,915,0.89,2.89,28.2,23.2
0.44,4094,1792,0.85,1.9,24.2,22.9
0.39,4388,1731,0.88,2.16,23.7,22.9
0.17,6250,1065,0.95,5.44,23,21.6
0.18,6301,1126,0.94,5.15,21.8,20.6
0.33,5152,1696,0.9,2.63,23.7,19.6
0.7,1504,1060,0.64,0.98,19.8,19.3
0.79,1328,1055,0.63,0.89,21.5,18.9
0.69,1889,1307,0.78,1.1,18.9,18.7
0.33,3575,1163,0.89,2.69,19,17.6
1.04,1378,1296,0.61,0.69,18.3,17.6
0.22,5417,1210,0.94,4.09,32,17.6
0.54,2621,1406,0.77,1.42,17.9,17.5
0.94,1148,1190,0.71,0.82,17.9,17.2
0.4,3141,1265,0.85,2.07,25.7,17.1
0.75,1598,1204,0.64,0.94,17.4,17
1.07,1273,1362,0.65,0.69,17.7,16.4
0.61,2228,1362,0.82,1.23,17.2,16.4
0.25,5455,1373,0.93,3.58,28.4,15.9
0.7,1893,1322,0.69,1.02,16,15.9
0.29,5166,1517,0.91,3,17.3,15.7
0.76,1925,1471,0.73,1.07,16.1,15.6
0.28,5268,1498,0.92,3.1,17.3,15.3
0.67,2289,1544,0.73,1.08,16.1,15.3
0.32,4986,1575,0.88,2.74,18.8,14.9
0.28,5103,1427,0.92,3.19,27.5,14.9
0.51,4432,2245,0.81,1.57,16.2,14.8
0.24,6200,1493,0.9,3.73,24.6,14.6
0.35,5152,1815,0.9,2.43,15.3,14.5
